created_at,id,text,user/id,user/name,user/location,user/url,lang,timestamp_ms,TARGET
Tue Apr 28 12:14:59 +0000 2020,1.26E+18,PAYPAL BS 166000x$ OPERACIONES HACIA VENEZUELA Tasa sujeta a cambio 28/04/20 08.00 AM NY TODOS LOS FEE DE PAYPAL SO… https://t.co/9B6GNk188Y,9.32E+17,FamiEnvios,LatinoAmerica,http://www.famienvios.com,es,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"🇭🇷 Croatia has confirmed 8 new coronavirus cases and 4 new deaths today, raising the country's total to 2,047 with… https://t.co/Gl4GxjxrdX",1.25E+18,Data Trackers,,,en,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"RT @AriMulano_: Due To #COVID19 I’ll Be Sending the first 100 people to like &amp; retweet this $300 - $1500 through Cashapp , Apple Pay or Zel…",8.78E+17,Kane Settles,,,en,1.59E+12,0
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"🍊La formación naranja hace propuestas constructivas para paliar la crisis del #coronavirus

https://t.co/K1Hza622Rm",2369476213,Libre Diario Digital #QuedateEnCasa,"Tenerife, I.Canarias, España",http://www.librediariodigital.net/,es,1.59E+12,0
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"Tut mir nur der Rücken weh oder sind das schon Gliederschmerzen? Solche Fragen stellt man sich im Home Office, weil… https://t.co/f3TpDratqg",543353857,Helen Dalibor,Deutschland,http://helendalibor.wordpress.com,de,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"On #WorkersMemorialDay, the Labor Movement remembers workers killed or injured on the job. #COVID19 continues to cl… https://t.co/STizr5WMdZ",430834036,"New York City Central Labor Council, AFL-CIO",NYC,http://www.nycclc.org,en,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"A director level officer working at NITI Bhawan has been tested positive for #COVID19.

https://t.co/zBHSDaITMl",39743812,Economic Times,,https://www.facebook.com/EconomicTimes,en,1.59E+12,0
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"#Coronavirus: Festivalul Internaţional de Film de la Karlovy Vary, amânat un an din cauza noului coronavirus… https://t.co/ojBvz0I5Sr",119309207,AGERPRES,"Bucharest, Romania",http://www.agerpres.ro,ro,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"#WatchAgain: From April 27  https://t.co/VqNAk3OFaH

The U.S. spends more on health care than any other nation. Wil… https://t.co/rWb5IArBUT",38489678,JAMA,"Chicago, IL",http://jama.com,en,1.59E+12,1
Tue Apr 28 12:15:00 +0000 2020,1.26E+18,"La Chambre des communes se réunit virtuellement sur Zoom, une plateforme décrite par plusieurs experts en cybersécu… https://t.co/ZMDxrt3VNO",92668156,Claudia Timmons,Longueuil,http://radio-canada.ca/,fr,1.59E+12,1
